level,outcome,treat,spec,est,se,t,p,ci_lo,ci_hi,n,r2,controls
subsector,hours,future,1,-1.6481556370698125,1.2811639150735472,-1.2864518097008668,0.2051688598043991,-4.159236910613965,0.8629256364743401,45,0.09436345340642482,<e2><80><94>
subsector,hours,future,2,-2.1245459234031583,1.192238877177787,-1.7819800746913115,0.08198340183901143,-4.461334122671621,0.2122422758653042,45,0.2552321858891127,pretrend
subsector,hours,future,3,-2.2854951186586394,1.2264058155595348,-1.8635716576538788,0.06955471620279731,-4.689250517155328,0.11826027983804854,45,0.284087842120587,pretrend + catchup
jolts,openings,prebreak,1,-0.1118667950408697,0.1271739565231043,-0.8796360363337941,0.3950262521692277,-0.3611277498261541,0.1373941597444147,15,0.024618443050199244,<e2><80><94>
jolts,openings,prebreak,2,-0.11212681431352028,0.12858354984765338,-0.8720152340355267,0.4003112966423745,-0.3641505720149209,0.13989694338788033,15,0.03054280650332346,openings_pre_level
jolts,openings,prebreak,3,-0.03593289229563886,0.10601450722728989,-0.33894316198254365,0.7410345929502327,-0.24372132646112704,0.1718555418698493,15,0.3265921667470399,openings_pre_level + catchup
jolts,openings,initial,1,-0.088353757551005635,0.12836671826422294,-0.6882917842391448,0.5043578468874206,-0.33995252534888254,0.1632450102468713,14,0.015011708888490549,<e2><80><94>
jolts,openings,initial,2,-0.08566143253251624,0.13061782799716531,-0.6558173095205294,0.5254212170343597,-0.34167237540696027,0.1703495103419278,14,0.027931779624870357,openings_pre_level
jolts,openings,initial,3,-0.07191622848969388,0.11416877588844725,-0.629911531677998,0.5428765119405117,-0.2956870292310505,0.1518545722516627,14,0.4693719650443692,openings_pre_level + catchup
jolts,openings,postbreak,1,-0.135628808598866,0.13663966059457808,-0.9926020601096824,0.33902081874008594,-0.403442543364239,0.132184926166507,15,0.03618779198684487,<e2><80><94>
jolts,openings,postbreak,2,-0.13259553768284604,0.1439309866400194,-0.9212438598401048,0.3750729287942557,-0.41470027149728406,0.14950919613159197,15,0.04024393318442717,openings_pre_level
jolts,openings,postbreak,3,-0.016891252304476027,0.11905370394506673,-0.1418792674629419,0.8897405476283937,-0.2502365120368068,0.21645400742785476,15,0.3246581413249214,openings_pre_level + catchup
jolts,openings,future,1,-0.11873243305564833,0.13077919290786622,-0.9078847362156087,0.3804613908914387,-0.3750596511550661,0.13759478504376943,15,0.027733004778740782,<e2><80><94>
jolts,openings,future,2,-0.11858380935002384,0.13284750393503483,-0.8926310682360563,0.38960441318353733,-0.3789649170626921,0.14179729836264443,15,0.03347375028634337,openings_pre_level
jolts,openings,future,3,-0.03295985190918932,0.10843743011440658,-0.30395272070183815,0.7668363156668652,-0.24549721493342622,0.17957751111504758,15,0.3261832634697021,openings_pre_level + catchup
jolts,hires,prebreak,1,0.16035913612179412,0.0936364420107112,1.712571864952434,0.11052443889508487,-0.023168290219199833,0.34388656246278804,15,0.17369446873344815,<e2><80><94>
jolts,hires,prebreak,2,0.13646420552494573,0.10411162776133408,1.3107489380319444,0.21447361157840325,-0.06759458488726905,0.3405229959371605,15,0.22137502418906488,hires_pre_level
jolts,hires,prebreak,3,0.15714374103134127,0.11677183273390912,1.3457332761868062,0.2054700589996594,-0.07172905112712061,0.3860165331898031,15,0.30356374768920086,hires_pre_level + catchup
jolts,hires,initial,1,0.18802403770722137,0.09291100250166968,2.023700451449143,0.06585471111896862,0.005918472803948804,0.37012960261049394,14,0.23612659910855652,<e2><80><94>
jolts,hires,initial,2,0.16365677699388922,0.10427813943862765,1.5694255562567698,0.1448480242845304,-0.04072837630582096,0.36804193029359944,14,0.2898999942978989,hires_pre_level
