occ2010,estimate,p.value
7410,-0.0015271853291069684,0.8775034872794111
7420,0.030175718452132648,0.14079546269072946
7430,-0.013074093962194349,0.571076961996448
7540,0.010674513266626337,0.6870410353449354
7610,0.018670246698430617,0.42475278411141915
7630,-0.008450443468634217,0.41547117363522024
7700,0.035675138417488365,1.1997729647459714e-5
7720,0.03496444127224985,0.011526753481365832
7730,-0.07586303541180302,0.04093107666139438
7750,0.044805790593077884,8.056398351848452e-8
7800,0.003355158529259504,0.6061829650310633
7810,-0.009787150301307595,0.28116960977708627
7830,0.046875236786753545,0.3377613245482761
7840,-0.015445727710935143,0.38311093825941267
7900,0.01275889898101683,0.6389670492642596
7930,-0.032677485767326694,0.5152020934499886
7940,0.07357292288151077,0.034935335315499215
7950,0.028981866811553163,0.011648170659995552
8030,0.010598826188335245,0.1000575464145453
8100,0.05781673495488538,0.003702903281850401
8130,0.05248646202252589,9.37678980762422e-4
8140,0.03511102517822529,5.510852580392826e-6
8220,0.06244069840023179,2.2593565441910685e-8
8250,-8.027605057903785e-4,0.965988725616626
8255,0.010457226647998403,0.3018677699878905
8256,0.04310201308359077,0.17974562867854627
8300,0.00523622776183468,0.7075382733893618
8310,-0.02355632036284406,0.06679706727594614
8320,0.05658418065165428,0.0010505248604207025
8330,-0.0013306276503303406,0.9783681573799086
8350,0.030885205072071844,0.10592894213129453
8400,-0.03362161612619587,0.5416182140915593
8410,0.05667862072578534,0.34451404965042043
8420,0.014382048891440919,0.6403103626644753
8450,0.021090340897465112,0.37915855042036073
8460,0.054085246499643184,0.04301824191275608
8500,0.1057380783628149,1.0327601759838852e-6
8510,0.11941697884847069,0.009534721037742125
8530,0.07666849852176177,5.54592874757181e-5
8540,0.08242898415592458,0.016485006591265894
8550,0.02433414123219003,0.42865631629055356
8600,-0.0045293904504687815,0.8098726391248162
8610,-0.012954282506741955,0.3524384638843443
8620,0.027916916469557813,0.1199178676981887
8630,0.019590963413782855,0.11985267996004122
8640,0.012851348511293307,0.48520534231705426
8650,0.011662094620777516,0.3379941712826565
8710,0.01450648679918794,0.2223201561930353
8720,-8.007044108763093e-4,0.9705243121140849
8730,0.0385781274955839,0.29989006831463416
8740,0.024594190418547768,3.691270966304243e-4
8750,0.017947858509137916,0.5561837518938804
8760,-0.0014126854727164295,0.9322502799910684
8800,0.029147193933143422,0.008652843967413736
8810,0.05522824995220423,1.8352071287658055e-5
8830,-0.015074488580013838,0.6669763566574076
8850,0.06298664715607989,0.04642191452267851
8910,-0.034721626541420504,0.4554044900294977
8920,0.014877832477789817,0.4821392316084333
8930,0.019722265833481904,0.3806151155577099
8950,0.031735145414584436,0.2382319997215575
8965,0.03530145430814324,6.048903163261892e-5
9000,-0.009468251142267039,0.2766762106363592
9030,0.0061486548202191035,0.598311476197956
9040,-0.02279420086998651,0.4317590688537992
9050,0.022095841483797334,0.08098986951049061
9120,-0.016768666682752776,0.02823670535053194
9130,0.019432885292091105,7.761724196206108e-5
9140,0.019515380098766858,0.20399127944190396
9150,0.008436125705261836,0.8435841312227735
9200,-0.04385503217171797,0.02578442925122194
9240,0.013558199794328093,0.3213006673942929
9260,0.06779446502617999,0.03086835394381359
9300,-0.049815393910617935,0.12505312179047817
9310,-0.025857501347796335,0.2922318984634936
9350,0.007541145191526773,0.6326651824999492
9360,0.02573027437793091,0.0268553566430383
9420,0.06513483218398347,0.2599557806298735
9510,0.008594801844497828,0.5652996726163815
9520,0.014576515302813052,0.5367331074606239
9560,-0.013224428293672357,0.6102163792077518
9600,0.02259301773466664,4.3992379706879643e-4
9610,0.008838909906047361,0.32677354162425776
9620,0.02668880389139972,5.877292410026489e-6
9630,0.05020382765413859,0.08051439337299726
9640,0.022563668856733977,0.07998206921163276
9720,0.003538789325876054,0.8035660874017116
9750,-0.003926413837540887,0.8312902434240641
