naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source
48,human_rating_beta,0.246466173540917,-0.2088464658787,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,human_rating_beta,0.207093291872291,-0.398490201640338,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,human_rating_beta,0.451200627317583,0.777279136511855,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,human_rating_beta,0.511280303962235,1.06665938604849,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,human_rating_beta,0.393301483776829,0.498401660108661,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,human_rating_beta,0.477258093037887,0.902787733654168,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,human_rating_beta,0.482600955148824,0.928522205895875,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,human_rating_beta,0.250479415725177,-0.18951625157676,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,human_rating_beta,0.359369971814659,0.334966869058703,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
62,human_rating_beta,0.321833585242438,0.154168810220623,340,476470186.4146,0.927716756270876,2,cps_occ_ind_2021_2022
71,human_rating_beta,0.315372740688793,0.123049454831785,273,72646586.6197,0.960084870628453,2,cps_occ_ind_2021_2022
72,human_rating_beta,0.225910437890345,-0.307855386102324,278,242270570.6062,0.997474012756808,2,cps_occ_ind_2021_2022
81,human_rating_beta,0.229597999009129,-0.290093849816986,333,169635985.6193,0.95831377464503,2,cps_occ_ind_2021_2022
92,human_rating_beta,0.422565212455003,0.639353568977104,357,89662219.3513,0.9399228924221,2,cps_occ_ind_2021_2022
11,pca_score,-1.17902168700477,-0.531210525859861,212,54301629.6502001,0.983531199253645,2,cps_occ_ind_2021_2022
21,pca_score,-0.276565377022669,-0.124607071254193,203,14394311.4548,0.993146819248091,2,cps_occ_ind_2021_2022
22,pca_score,0.404353978148323,0.182182475295578,236,31777432.5051,0.992006221791701,2,cps_occ_ind_2021_2022
31,pca_score,-0.522219106103944,-0.23528683910156,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,pca_score,0.0588064203067247,0.0264953476253951,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,pca_score,0.163116943318127,0.0734926576768928,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,pca_score,0.95583430243091,0.430653013448056,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,pca_score,0.111604063779304,0.0502834291020649,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,pca_score,0.179524781575622,0.0808852412782433,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
48,pca_score,-0.507181161552072,-0.22851146378718,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,pca_score,-0.849599208818227,-0.382788584349954,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,pca_score,1.86071014065116,0.838346591231174,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,pca_score,2.34359316796436,1.05591048313845,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,pca_score,1.02575741779738,0.4621570097638,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,pca_score,2.27990278283892,1.02721465561669,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,pca_score,2.13937035308311,0.96389749467405,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,pca_score,-0.565309426393634,-0.254701267142071,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,pca_score,0.799601674405205,0.360262097483788,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
