naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source,thin
213,ai_applicability_score,0.140938240157937,-0.267373174000759,172,9038960.0332,0.992280230136722,3,cps_occ_ind_2021_2022,FALSE
221,ai_applicability_score,0.175441670411718,0.0751060532140348,236,31777432.5051,0.992006221791701,3,cps_occ_ind_2021_2022,FALSE
311,ai_applicability_score,0.138329364211415,-0.293268738919736,208,38525420.8235,0.923672733357734,3,cps_occ_ind_2021_2022,FALSE
312,ai_applicability_score,0.170736970170432,0.0284074469867237,115,8045371.2322,0.956409455111909,3,cps_occ_ind_2021_2022,FALSE
313,ai_applicability_score,0.135500772501748,-0.321345190904583,63,1959576.2656,0.997530393216123,3,cps_occ_ind_2021_2022,FALSE
314,ai_applicability_score,0.134272910152657,-0.333532887761095,76,2787950.2929,0.991368628844364,3,cps_occ_ind_2021_2022,FALSE
315,ai_applicability_score,0.12878817690655,-0.387974060415232,83,4797103.1916,0.995555545276325,3,cps_occ_ind_2021_2022,FALSE
316,ai_applicability_score,0.16125349742118,-0.0657250028765846,50,1169062.9924,0.957943558614429,3,cps_occ_ind_2021_2022,FALSE
321,ai_applicability_score,0.132150129008076,-0.354603501337631,132,9919432.5212,0.987190770544707,3,cps_occ_ind_2021_2022,FALSE
322,ai_applicability_score,0.137922174740238,-0.297310480114541,123,8272730.4197,0.990297889959213,3,cps_occ_ind_2021_2022,FALSE
323,ai_applicability_score,0.184478720275373,0.164807333082211,120,10297810.1368,0.991285636779438,3,cps_occ_ind_2021_2022,FALSE
324,ai_applicability_score,0.164253337069505,-0.0359487528930392,136,4679035.5895,0.991175890564411,3,cps_occ_ind_2021_2022,FALSE
325,ai_applicability_score,0.175584530060427,0.0765240705453657,244,34577349.8149,0.98610656233762,3,cps_occ_ind_2021_2022,FALSE
326,ai_applicability_score,0.148099200599094,-0.196293858698932,141,12268439.5025,0.994587733144105,3,cps_occ_ind_2021_2022,FALSE
327,ai_applicability_score,0.143696204733211,-0.239997763223386,145,9863280.94670001,0.994834401980015,3,cps_occ_ind_2021_2022,FALSE
331,ai_applicability_score,0.146961152022064,-0.207590068795359,136,10493318.2801,0.996603850909359,3,cps_occ_ind_2021_2022,FALSE
332,ai_applicability_score,0.155161380191809,-0.126195036883953,168,26851333.428,0.99295025848039,3,cps_occ_ind_2021_2022,FALSE
333,ai_applicability_score,0.169625239214625,0.0173724642092119,195,28347412.3885,0.989526519670934,3,cps_occ_ind_2021_2022,FALSE
334,ai_applicability_score,0.203685241139219,0.355450245237705,180,24209928.3305,0.990124203455951,3,cps_occ_ind_2021_2022,FALSE
335,ai_applicability_score,0.166464408071624,-0.0140017788515251,129,9688626.666,0.986706293051407,3,cps_occ_ind_2021_2022,FALSE
336,ai_applicability_score,0.161380563476211,-0.0644637519223437,264,59698009.2426,0.98747303842257,3,cps_occ_ind_2021_2022,FALSE
337,ai_applicability_score,0.139441035062367,-0.28223435273984,109,8915698.3966,0.989867686371458,3,cps_occ_ind_2021_2022,FALSE
339,ai_applicability_score,0.172314161041627,0.0440625603120986,219,28651904.3259,0.987530780475812,3,cps_occ_ind_2021_2022,FALSE
423,ai_applicability_score,0.207314140964082,0.391470513324614,219,35988098.7727,0.983813200602215,3,cps_occ_ind_2021_2022,FALSE
424,ai_applicability_score,0.190443640789549,0.224014819209438,227,38559403.6934,0.976244880537485,3,cps_occ_ind_2021_2022,FALSE
425,ai_applicability_score,0.239122059781964,0.707194236326485,36,1560565.5216,0.949764088411455,3,cps_occ_ind_2021_2022,FALSE
441,ai_applicability_score,0.194864960215881,0.267900602427594,180,43013974.0523,0.97971655705054,3,cps_occ_ind_2021_2022,FALSE
442,ai_applicability_score,0.217287158179344,0.490462155713806,97,11707363.8898,0.977617041454053,3,cps_occ_ind_2021_2022,FALSE
443,ai_applicability_score,0.251967987991537,0.834702241580236,102,11603491.859,0.989120580623667,3,cps_occ_ind_2021_2022,FALSE
444,ai_applicability_score,0.223161429125553,0.548769859014918,174,37351731.1127,0.988894442069622,3,cps_occ_ind_2021_2022,FALSE
445,ai_applicability_score,0.198487865339682,0.303861367428215,179,76201909.5516,0.981858805630223,3,cps_occ_ind_2021_2022,FALSE
446,ai_applicability_score,0.212655445335152,0.444488018536942,169,31166928.0383,0.995322112788135,3,cps_occ_ind_2021_2022,FALSE
447,ai_applicability_score,0.227887570756417,0.595681291343253,99,11216532.2512,0.999302523465324,3,cps_occ_ind_2021_2022,FALSE
