occ2010,cyclicality_beta,cyclicality_p
6730,-0.00122327099311301,0.928932822543461
6740,-0.0587992415950204,0.241121427728523
6765,-0.0126949690405147,0.668004512145924
6800,-0.00225303512690725,0.949768089838414
6820,0.116913789893234,0.000887896977836864
6830,-0.0629375281680243,0.193321884419649
6840,-0.003623223978379,0.851657932519745
6940,-0.0283735935038601,0.489746166366901
7000,-0.000331687038408789,0.968849779006517
7010,0.0132514183571451,0.615047237634525
7020,0.0313477217245741,0.0866779727356657
7030,0.0443060666605581,0.23774566515483
7040,-0.0117837216922737,0.68389645584411
7100,-0.0126840158095982,0.720337238940929
7110,-0.0311588588927133,0.492625958803994
7120,-0.012606408290246,0.667012763720964
7130,-0.00340896350397132,0.856447276037954
7140,0.0172390028786129,0.135538224053217
7150,-0.0205150667298461,0.087511028351648
7160,-0.0593944576562002,0.0394218483725183
7200,0.0164270632852421,0.00463040106812942
7210,0.0238273868654516,0.000503750290170899
7220,0.00580210268756443,0.5237586270583
7240,0.0240792839338938,0.232834953591699
7260,-0.0255191127386097,0.0568162368389686
7300,-0.0128863627479783,0.516022865875933
7315,0.0272710969906223,6.21941146307871e-05
7320,0.00496289890684286,0.787756890819939
7330,0.0107563660371662,0.153003938068939
7340,0.0237290824076264,0.104256876982209
7350,0.0201438801399262,0.500063880808324
7360,0.0284721771200678,0.0926108360333973
7410,-0.00152718532910697,0.877503487279411
7420,0.0301757184521327,0.140795462690729
7430,-0.0130740939621943,0.571076961996448
7510,0.0240320304944854,0.31707236677184
7540,0.0106745132666263,0.687041035344936
7560,0.0126756325787955,0.499270896474883
7610,0.0186702466984306,0.424752784111419
7630,-0.00845044346863422,0.41547117363522
7700,0.0356751384174884,1.19977296474597e-05
7710,-0.167344517149751,0.0969648674731685
7720,0.0349644412722498,0.0115267534813658
7730,-0.075863035411803,0.0409310766613944
7740,0.0716856072082609,0.00488895799456062
7750,0.0448057905930779,8.05639835184845e-08
7800,0.0033551585292595,0.606182965031063
7810,-0.0097871503013076,0.281169609777086
7830,0.0468752367867536,0.337761324548276
7840,-0.0154457277109351,0.383110938259413
7850,-0.100918293354796,0.119234471488634
7900,0.0127588989810168,0.63896704926426
7920,0.137947125896394,0.00300666736006991
7930,-0.0326774857673267,0.515202093449989
7940,0.0735729228815108,0.0349353353154992
7950,0.0289818668115532,0.0116481706599956
8030,0.0105988261883352,0.100057546414545
8040,0.0204372412219587,0.399556463326721
8100,0.0578167349548854,0.0037029032818504
8130,0.0524864620225259,0.000937678980762422
8140,0.0351110251782253,5.51085258039283e-06
8220,0.0624406984002318,2.25935654419107e-08
8250,-0.000802760505790378,0.965988725616626
8255,0.0104572266479984,0.301867769987891
8256,0.0431020130835908,0.179745628678546
8300,0.00523622776183468,0.707538273389362
8310,-0.0235563203628441,0.0667970672759461
8320,0.0565841806516543,0.0010505248604207
8330,-0.00133062765033034,0.978368157379909
8350,0.0308852050720718,0.105928942131295
8400,-0.0336216161261959,0.541618214091559
8410,0.0566786207257853,0.34451404965042
8420,0.0143820488914409,0.640310362664475
8450,0.0210903408974651,0.379158550420361
8460,0.0540852464996432,0.0430182419127561
8500,0.105738078362815,1.03276017598389e-06
8510,0.119416978848471,0.00953472103774212
8530,0.0766684985217618,5.54592874757181e-05
8540,0.0824289841559246,0.0164850065912659
8550,0.02433414123219,0.428656316290554
8600,-0.00452939045046878,0.809872639124816
8610,-0.012954282506742,0.352438463884344
8620,0.0279169164695578,0.119917867698189
8630,0.0195909634137829,0.119852679960041
8640,0.0128513485112933,0.485205342317054
8650,0.0116620946207775,0.337994171282657
8710,0.0145064867991879,0.222320156193035
8720,-0.000800704410876309,0.970524312114085
8730,0.0385781274955839,0.299890068314634
8740,0.0245941904185478,0.000369127096630424
8750,0.0179478585091379,0.55618375189388
8760,-0.00141268547271643,0.932250279991068
8800,0.0291471939331434,0.00865284396741374
8810,0.0552282499522042,1.83520712876581e-05
8830,-0.0150744885800138,0.666976356657408
8850,0.0629866471560799,0.0464219145226785
8910,-0.0347216265414205,0.455404490029498
8920,0.0148778324777898,0.482139231608433
8930,0.0197222658334819,0.38061511555771
8940,-0.0670746710060087,0.0770963114708332
8950,0.0317351454145844,0.238231999721558
8965,0.0353014543081432,6.04890316326189e-05
9000,-0.00946825114226704,0.276676210636359
9030,0.0061486548202191,0.598311476197956
9040,-0.0227942008699865,0.431759068853799
9050,0.0220958414837973,0.0809898695104906
9110,-0.0251334868748553,0.570404152624709
9120,-0.0167686666827528,0.0282367053505319
9130,0.0194328852920911,7.76172419620611e-05
9140,0.0195153800987669,0.203991279441904
9150,0.00843612570526184,0.843584131222774
9200,-0.043855032171718,0.0257844292512219
9240,0.0135581997943281,0.321300667394293
9260,0.06779446502618,0.0308683539438136
9300,-0.0498153939106179,0.125053121790478
9310,-0.0258575013477963,0.292231898463494
9350,0.00754114519152677,0.632665182499949
9360,0.0257302743779309,0.0268553566430383
9410,-0.0206507409708146,0.43737832665792
9420,0.0651348321839835,0.259955780629874
9510,0.00859480184449783,0.565299672616382
9520,0.0145765153028131,0.536733107460624
9560,-0.0132244282936724,0.610216379207752
9600,0.0225930177346666,0.000439923797068796
9610,0.00883890990604736,0.326773541624258
9620,0.0266888038913997,5.87729241002649e-06
9630,0.0502038276541386,0.0805143933729973
9640,0.022563668856734,0.0799820692116328
9650,-0.040188689234185,0.225824694772011
9720,0.00353878932587605,0.803566087401712
9750,-0.00392641383754089,0.831290243424064
