occ2010,metric,value,z,pctile
8130,ai_applicability_score,0.0862094989540314,-0.810607769984108,0.242152466367713
8140,ai_applicability_score,0.0834542297716171,-0.837956426434247,0.224215246636771
8220,ai_applicability_score,0.132038471321695,-0.355711809638078,0.434977578475336
8250,ai_applicability_score,0.133171816656908,-0.344462283671638,0.439461883408072
8255,ai_applicability_score,0.119739767465885,-0.477788094845111,0.378923766816143
8256,ai_applicability_score,0.0460310109635029,-1.20941732069965,0.07847533632287
8300,ai_applicability_score,0.0446023861649318,-1.22359777503117,0.0739910313901345
8310,ai_applicability_score,0.0557071016858633,-1.11337295500383,0.116591928251121
8320,ai_applicability_score,0.047212647675826,-1.19768845707338,0.0852017937219731
8330,ai_applicability_score,0.060542058006783,-1.06538143380647,0.139013452914798
8350,ai_applicability_score,0.0597114528876883,-1.0736259763698,0.136771300448431
8420,ai_applicability_score,0.0817221616928238,-0.855148842746059,0.2152466367713
8450,ai_applicability_score,0.0837461385580059,-0.835058955230825,0.228699551569507
8460,ai_applicability_score,0.0540414786992344,-1.12990584083855,0.114349775784753
8500,ai_applicability_score,0.118647524660918,-0.48862963926619,0.37219730941704
8510,ai_applicability_score,0.0842711497031414,-0.829847722320281,0.233183856502242
8530,ai_applicability_score,0.108910642978284,-0.585277412824448,0.334080717488789
8540,ai_applicability_score,0.132617744066078,-0.34996197895795,0.437219730941704
8550,ai_applicability_score,0.149097147716486,-0.186388288294721,0.493273542600897
8600,ai_applicability_score,0.0774196986294358,-0.897854863980219,0.199551569506726
8610,ai_applicability_score,0.100348090599019,-0.670268855711945,0.311659192825112
8620,ai_applicability_score,0,-1.66631870548207,0.00336322869955157
8630,ai_applicability_score,0.065688084619371,-1.01430224531585,0.154708520179372
8640,ai_applicability_score,0.0945005155981154,-0.728311576469268,0.280269058295964
8650,ai_applicability_score,0.07370582107453,-0.934718616529436,0.18609865470852
8710,ai_applicability_score,0.0875338457610325,-0.797462373491932,0.253363228699552
8720,ai_applicability_score,0.0803585735458626,-0.868683746707075,0.210762331838565
8730,ai_applicability_score,0.121563899642196,-0.459681855161531,0.390134529147982
8740,ai_applicability_score,0.0929881871510724,-0.743322868796688,0.278026905829596
8750,ai_applicability_score,0.1193385645342,-0.481770413964957,0.376681614349776
8760,ai_applicability_score,0.0593487833820792,-1.07722581473665,0.134529147982063
8800,ai_applicability_score,0.0200531293260266,-1.46727240242461,0.0269058295964126
8810,ai_applicability_score,0.0534790917894605,-1.13548806361577,0.10762331838565
8830,ai_applicability_score,0.128163705017461,-0.394172535419586,0.426008968609866
8850,ai_applicability_score,0.116166105995218,-0.513260069944379,0.358744394618834
8860,ai_applicability_score,0.0716348017775398,-0.955275444739362,0.179372197309417
8910,ai_applicability_score,0.086996976167943,-0.802791312730843,0.246636771300448
8920,ai_applicability_score,0.0965363929654853,-0.708103565197562,0.29372197309417
8930,ai_applicability_score,0.0908882572911304,-0.764166661728245,0.266816143497758
8940,ai_applicability_score,0.011765050502153,-1.54953943529114,0.0112107623318386
8950,ai_applicability_score,0.0214759054004286,-1.45315000222043,0.0336322869955157
8965,ai_applicability_score,0.105188632197071,-0.622221895348624,0.322869955156951
9000,ai_applicability_score,0.110323886215685,-0.571249635057086,0.34304932735426
9030,ai_applicability_score,0.137567644172867,-0.300829531810095,0.455156950672646
9040,ai_applicability_score,0.18841980823998,0.203926364163362,0.630044843049327
9050,ai_applicability_score,0.301259844204576,1.32397060416498,0.874439461883408
9110,ai_applicability_score,0.0473310262925413,-1.19651343717324,0.0874439461883408
9120,ai_applicability_score,0.201433206091302,0.333096664240151,0.672645739910314
9130,ai_applicability_score,0.130911427122989,-0.366898790856197,0.432735426008969
9140,ai_applicability_score,0.177784125770972,0.0983571414485043,0.605381165919282
9200,ai_applicability_score,0.127305040518753,-0.402695593903665,0.419282511210762
9260,ai_applicability_score,0.072909372584347,-0.942624122197365,0.183856502242152
9300,ai_applicability_score,0.0447181692453328,-1.22244851828746,0.0762331838565022
